Throughput;TPS
3600;3.9183687824624904
10800;4.951563841135069
21600;5.365637519623743
36000;5.734363073770719
54000;6.633782184632867
75600;7.300068841051249
1440;3.6620161730858865
4320;4.6046848355387064
8640;5.0077707010354064
14400;5.036895741442009
21600;5.3006874971955895
30240;5.516563254808902
40320;5.538953934200391
51840;5.720292584403749
64800;6.128536578645267
79200;6.310816406831735
1440;5.6827594038032
4320;5.496352636463616
8640;5.685036026119917
14400;5.880349284146006
21600;6.102715837374276
30240;6.197596369295028
40320;6.1522691840201
51840;6.211324814198329
64800;6.496565385702743
79200;6.73266970394459
1440;5.898455003951372
4320;5.803526199705778
8640;6.014810245894796
14400;6.099045365011493
21600;6.289880750562725
30240;6.371732420029137
40320;6.399379673127443
51840;6.579163595079866
64800;6.763364197045549
79200;6.819805127365785
1440;6.672705812834751
4320;6.526469513042976
8640;6.54146939238684
14400;6.5855011319642776
21600;6.719686698155861
30240;6.7517728010281095
40320;6.8190955322748925
51840;7.059010924668604
64800;7.33852440360108
79200;7.465023507613647
1440;6.474140046769724
4320;5.990078318822161
8640;6.245417517655943
14400;6.405490898981214
21600;6.645138018022221
30240;6.953186935980539
40320;6.99179690868979
51840;7.15197813007616
64800;7.409228787978234
79200;7.688380243016437
1440;6.3756454878607025
4320;6.64296886061092
8640;6.683810713656198
14400;6.560435010430955
21600;6.7726586631394
30240;6.9141987932508675
40320;6.929375126413733
51840;6.9558701316315075
64800;7.194050892184963
79200;7.335032557397266
1440;6.132925141875497
4320;6.323449909469414
8640;6.621216955121628
14400;6.694634252757556
21600;6.937550759069911
30240;6.92878053085645
40320;7.009838451628642
51840;7.141864467780807
64800;7.413732490673441
79200;7.638289094151569
1440;5.663371149416285
4320;6.533739206828546
8640;6.819694272681757
14400;6.870510970755394
21600;7.020309630293849
30240;6.989507327606319
40320;6.967032548275824
51840;7.183913066953952
64800;7.565916854133964
79200;7.739042211370433
1440;6.363241086245598
4320;6.753419747563191
8640;6.818098371072016
14400;6.750033477737511
21600;6.829950009547703
30240;7.0988845159564615
40320;7.070470091450931
51840;7.36577262208851
64800;7.641357465370189
79200;7.792971023797985
