Throughput;TPS
8580;2.1097739739628008
25740;2.046271640167146
51480;1.9190278217275178
85800;1.9193146890769324
128700;1.8196340310880974
180180;1.996931984005337
240240;2.04784419010789
308880;2.2309051229912953
386100;2.3425892412909137
471900;2.5713761772590447
8580;1.3982321679147596
25740;1.3309020454338338
51480;1.2778643582076359
85800;1.2341381168487953
128700;1.3162307816995977
180180;1.3943221363403593
240240;1.3227486504899384
308880;1.5228610688127187
386100;1.5114094817562358
471900;1.6255091105463493
8580;0.9915226087107268
25740;0.9592197576745178
51480;0.941513140457708
85800;0.9247439799185851
128700;0.905482409511954
180180;0.9357347377779204
240240;0.9799023352010369
308880;1.0702553521845672
386100;1.1334289201540426
471900;1.3213819338584158
