Time;TrAmount
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
16.245105266571045;21
33.3090181350708;61
52.51744103431702;121
53.519535064697266;201
91.07910084724426;301
108.08091521263123;421
125.17981696128845;561
76.28817796707153;721
36.21566724777222;901
40.96417498588562;1101
11.5050528049469;21
19.793588161468506;61
29.054816007614136;121
40.064539194107056;201
56.2100510597229;301
76.34204912185669;421
102.66558980941772;561
111.02223086357117;721
90.90225720405579;901
85.63423609733582;1101
11.5050528049469;21
19.793588161468506;61
29.054816007614136;121
40.064539194107056;201
56.2100510597229;301
76.34204912185669;421
102.66558980941772;561
111.02223086357117;721
90.90225720405579;901
85.63423609733582;1101
123.41686201095581;1321
65.95599579811096;1561
122.18301129341125;1821
11.5050528049469;21
19.793588161468506;61
29.054816007614136;121
40.064539194107056;201
56.2100510597229;301
76.34204912185669;421
102.66558980941772;561
111.02223086357117;721
90.90225720405579;901
85.63423609733582;1101
123.41686201095581;1321
65.95599579811096;1561
122.18301129341125;1821
22.429930925369263;21
34.083009004592896;61
60.19823598861694;121
91.44788408279419;201
73.22544503211975;301
81.96940779685974;421
122.85382914543152;561
63.30262804031372;721
74.96357893943787;901
86.81511187553406;1101
