Time;TrAmount
9.952934741973877;21
19.855164289474487;61
33.238749980926514;121
41.66973304748535;201
60.689051151275635;301
45.40191698074341;421
63.11774015426636;561
49.23533296585083;721
61.424736976623535;901
43.55183219909668;1101
9.952934741973877;21
19.855164289474487;61
33.238749980926514;121
41.66973304748535;201
60.689051151275635;301
45.40191698074341;421
63.11774015426636;561
49.23533296585083;721
61.424736976623535;901
43.55183219909668;1101
9.952934741973877;21
19.855164289474487;61
33.238749980926514;121
41.66973304748535;201
60.689051151275635;301
45.40191698074341;421
63.11774015426636;561
49.23533296585083;721
61.424736976623535;901
43.55183219909668;1101
15.017148971557617;21
30.811940908432007;61
48.851036071777344;121
68.17145991325378;201
65.80892896652222;301
73.24771881103516;421
122.1680498123169;561
49.32476997375488;721
122.67011308670044;901
81.17641973495483;1101
9.952934741973877;21
19.855164289474487;61
33.238749980926514;121
41.66973304748535;201
60.689051151275635;301
45.40191698074341;421
63.11774015426636;561
49.23533296585083;721
61.424736976623535;901
43.55183219909668;1101
21.178604125976562;21
42.41247820854187;61
64.92120504379272;121
88.83827710151672;201
115.05887269973755;301
117.49051642417908;421
122.58797478675842;561
101.16055989265442;721
121.25675177574158;901
38.27977108955383;1101
