Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
create;100;0;63.5;24.17;11.57;19.80;3.9
query;100;0;51.6;5.72;0.18;4.31;14.5
create;100;0;69.0;25.03;11.97;19.97;3.8
query;100;0;48.6;5.75;0.13;4.37;13.9
