Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GetObserver,135,227059,178258,566973,591832,670872,6029,677984,"7,407%",",04403","0,01","0,01"
TOTAL,135,227059,178258,566973,591832,670872,6029,677984,"7,407%",",04403","0,01","0,01"
