Rótulo;# Amostras;Média;Mediana;90% Line;95% Line;99% Line;Mín.;Máx.;% de Erro;Vazão;KB/s;Sent KB/sec
Grupo de Usuários:GetSimple;304;1446;1430;1794;1892;4435;325;4824;"0.987%";"1.07175";"0.74";"0.30"
TOTAL;304;1446;1430;1794;1892;4435;325;4824;0.987%;1.07175;0.74;0.30
