Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GetObserver-diffPriv,126,317122,183353,669365,1658074,1698150,6990,1703412,"7,937%",",03153","0,01","0,00"
TOTAL,126,317122,183353,669365,1658074,1698150,6990,1703412,"7,937%",",03153","0,01","0,00"
