Time;TPS
1.4872;0.005
1.0271;0.0034
0.8116;0.0027
1.5356;0.0051
1.0429;0.0035
1.3249;0.0044
1.0742;0.0036
1.4421;0.0048
1.2818;0.0043
1.11;0.0037
1.1845;0.0039
0.9902;0.0033
1.3374;0.0045
1.469;0.0049
1.2892;0.0043
1.1108;0.0037
1.7198;0.0057
2.1341;0.0071
1.6427;0.0055
1.1218;0.0037
1.3286;0.0044
1.1207;0.0037
1.2025;0.004
