Latency;TPS
9.725206851959229;6.901915678036173e-09
10.919514417648315;1.3176384476250874e-08
13.069238583246866;1.9450853274465578e-08
13.718793153762817;2.5725322072680278e-08
16.340536689758302;3.199979087089498e-08
18.73905575275421;3.827425966910968e-08
20.27276223046439;4.4548728467324386e-08
22.37816995382309;5.082319726553909e-08
25.200586292478775;5.7097666063753787e-08
26.499601364135742;6.33721348619685e-08
28.355673985047773;6.964660366018319e-08
28.92719280719757;7.592107245839789e-08
31.207012213193455;8.21955412566126e-08
32.43026140757969;8.84700100548273e-08
34.022595437367755;9.4744478853042e-08
35.23208796977997;1.010189476512567e-07
34.866235214121204;1.0729341644947141e-07
35.59593693415324;1.1356788524768611e-07
37.325978454790615;1.198423540459008e-07
39.228512823581696;1.261168228441155e-07
39.12005711737133;1.323912916423302e-07
39.813572059978135;1.3866576044054491e-07
40.10233014562856;1.4494022923875962e-07
41.415141969919205;1.5121469803697432e-07
