Time;TrAmount
9.725206851959229;11
12.113821983337402;21
17.36868691444397;31
15.667456865310669;41
26.827510833740234;51
30.731651067733765;61
29.475001096725464;71
37.116024017333984;81
47.77991700172424;91
38.19073700904846;101
46.91640019416809;111
35.21389985084534;121
58.56484508514404;131
48.33250093460083;141
56.315271854400635;151
53.374475955963135;161
29.012591123580933;171
48.000866174697876;181
68.46672582626343;191
75.37666583061218;201
36.95094299316406;211
54.37738585472107;221
46.455008029937744;231
71.60981392860413;241
9.725206851959229;11
12.113821983337402;21
17.36868691444397;31
15.667456865310669;41
26.827510833740234;51
30.731651067733765;61
29.475001096725464;71
37.116024017333984;81
47.77991700172424;91
38.19073700904846;101
46.91640019416809;111
35.21389985084534;121
58.56484508514404;131
48.33250093460083;141
56.315271854400635;151
53.374475955963135;161
29.012591123580933;171
48.000866174697876;181
68.46672582626343;191
75.37666583061218;201
36.95094299316406;211
54.37738585472107;221
46.455008029937744;231
71.60981392860413;241
9.725206851959229;11
12.113821983337402;21
17.36868691444397;31
15.667456865310669;41
26.827510833740234;51
30.731651067733765;61
29.475001096725464;71
37.116024017333984;81
47.77991700172424;91
38.19073700904846;101
46.91640019416809;111
35.21389985084534;121
58.56484508514404;131
48.33250093460083;141
56.315271854400635;151
53.374475955963135;161
29.012591123580933;171
48.000866174697876;181
68.46672582626343;191
75.37666583061218;201
36.95094299316406;211
54.37738585472107;221
46.455008029937744;231
71.60981392860413;241
9.725206851959229;11
12.113821983337402;21
17.36868691444397;31
15.667456865310669;41
26.827510833740234;51
30.731651067733765;61
29.475001096725464;71
37.116024017333984;81
47.77991700172424;91
38.19073700904846;101
46.91640019416809;111
35.21389985084534;121
58.56484508514404;131
48.33250093460083;141
56.315271854400635;151
53.374475955963135;161
29.012591123580933;171
48.000866174697876;181
68.46672582626343;191
75.37666583061218;201
36.95094299316406;211
54.37738585472107;221
46.455008029937744;231
71.60981392860413;241
9.725206851959229;11
12.113821983337402;21
17.36868691444397;31
15.667456865310669;41
26.827510833740234;51
30.731651067733765;61
29.475001096725464;71
37.116024017333984;81
47.77991700172424;91
38.19073700904846;101
46.91640019416809;111
35.21389985084534;121
58.56484508514404;131
48.33250093460083;141
56.315271854400635;151
53.374475955963135;161
29.012591123580933;171
48.000866174697876;181
68.46672582626343;191
75.37666583061218;201
36.95094299316406;211
54.37738585472107;221
46.455008029937744;231
71.60981392860413;241
